f,s11
8605000000.0,(0.4692174889235703+0.11609579191448549j)
8670000000.0,(0.4684082983430136+0.10354117434155208j)
8735000000.0,(0.4673020370610488+0.09155900724602772j)
8800000000.0,(0.4659840192977922+0.08013176600861333j)
8865000000.0,(0.46453180586188014+0.06923273337529694j)
8930000000.0,(0.46301488194063173+0.05882779945932503j)
8995000000.0,(0.4614946417151078+0.04887704574748065j)
9060000000.0,(0.460024592464597+0.039336090760929504j)
9125000000.0,(0.4586507010566101+0.03015719485611535j)
9190000000.0,(0.45741181763934136+0.021290135597863677j)
9255000000.0,(0.4563401233088886+0.012682874183123246j)
9320000000.0,(0.4554615594764907+0.004282038675615396j)
9385000000.0,(0.45479620606816723-0.003966747564369542j)
9450000000.0,(0.4543585833699048-0.01211866292363995j)
9515000000.0,(0.4541578583552683-0.020229580634322872j)
9580000000.0,(0.45419794093217314-0.02835602862904454j)
9645000000.0,(0.45447745906055154-0.03655518668556979j)
9710000000.0,(0.4549896045353373-0.04488489056258113j)
9775000000.0,(0.45572184387382997-0.05340361108120212j)
9840000000.0,(0.45665549173165093-0.06217037329817559j)
9905000000.0,(0.45776514821102926-0.07124457702345517j)
9970000000.0,(0.45901800701966505-0.08068567509100402j)
10035000000.0,(0.46037304947692476-0.09055266034667647j)
10100000000.0,(0.4617801507024414-0.10090330692442913j)
10165000000.0,(0.46317913981841563-0.11179310711113155j)
10230000000.0,(0.4644988763792117-0.12327384356472464j)
10295000000.0,(0.46565643087880954-0.13539174012691227j)
10360000000.0,(0.4665564877322985-0.14818514595966928j)
10425000000.0,(0.4670911230257818-0.16168173088082943j)
10490000000.0,(0.46714014320187247-0.17589520854186558j)
10555000000.0,(0.46657219886005047-0.19082166204081805j)
10620000000.0,(0.4652469012591697-0.2064356256058533j)
10685000000.0,(0.4630181563445683-0.22268617456381684j)
10750000000.0,(0.4597388788895005-0.23949338667301986j)
10815000000.0,(0.45526714523564227-0.2567456459877386j)
10880000000.0,(0.4494736800369459-0.27429834183534696j)
10945000000.0,(0.4422503543960729-0.29197453895207304j)
11010000000.0,(0.43351912087665523-0.3095681270147269j)
11075000000.0,(0.42324056635245016-0.3268497730835588j)
11140000000.0,(0.41142108526689636-0.3435756936635148j)
11205000000.0,(0.39811762853533456-0.3594988613175572j)
11270000000.0,(0.3834391186022938-0.3743818281794717j)
11335000000.0,(0.3675439546789976-0.3880099783319637j)
11400000000.0,(0.3506335271216448-0.40020381188831805j)
11465000000.0,(0.3329422266445612-0.41082888874687046j)
11530000000.0,(0.3147249505500683-0.41980233719189947j)
11595000000.0,(0.29624345620022535-0.427095312022823j)
11660000000.0,(0.2777530154100113-0.4327313634638311j)
11725000000.0,(0.25949067201016784-0.4367812240161378j)
11790000000.0,(0.2416660534916515-0.4393549255014627j)
11855000000.0,(0.22445523350286936-0.44059236064329005j)
11920000000.0,(0.20799769025683063-0.44065339860901964j)
11985000000.0,(0.19239603977855202-0.439708495652946j)
12050000000.0,(0.17771798705827052-0.43793047901491167j)
12115000000.0,(0.1639998381213775-0.43548789428390094j)
12180000000.0,(0.15125092875471974-0.4325400474373753j)
12245000000.0,(0.13945841420725674-0.42923367379764793j)
12310000000.0,(0.12859199067385593-0.4257010368304946j)
12375000000.0,(0.11860825300694149-0.42205919427072996j)
12440000000.0,(0.10945451349178935-0.4184101534756618j)
12505000000.0,(0.10107200322849454-0.4148416558719554j)
12570000000.0,(0.09339844788134559-0.411428367114222j)
12635000000.0,(0.08637005531535161-0.4082332937167309j)
12700000000.0,(0.0799229783733173-0.4053092907691331j)
12765000000.0,(0.07399432685553746-0.4027005644559013j)
12830000000.0,(0.06852280337823644-0.40044410545005926j)
12895000000.0,(0.06344903208108338-0.3985710144377594j)
12960000000.0,(0.05871564002378306-0.3971076995746988j)
13025000000.0,(0.05426714055093305-0.39607693853737025j)
13090000000.0,(0.050049657173322645-0.3954988060848989j)
13155000000.0,(0.04601051632214471-0.39539147268955604j)
13220000000.0,(0.04209772800642898-0.395771881655978j)
13285000000.0,(0.038259365020299724-0.3966563118541372j)
13350000000.0,(0.03444284383566269-0.3980608311495817j)
13415000000.0,(0.03059410353594034-0.400001642029422j)
13480000000.0,(0.026656672940916316-0.4024953157948891j)
13545000000.0,(0.022570610317641817-0.40555890481913665j)
13610000000.0,(0.01827129472562891-0.40920991333373913j)
13675000000.0,(0.013688043209771922-0.4134660953466704j)
13740000000.0,(0.00874252407442363-0.4183450326613j)
13805000000.0,(0.003346934074240753-0.42386342527661747j)
13870000000.0,(-0.002598092115870986-0.43003599903342155j)
13935000000.0,(-0.009205866022899726-0.4368738991513484j)
14000000000.0,(-0.016606334116827874-0.444382390851332j)
