f,s11
2425000000.0,(-0.7230638681847331+0.1435645456340724j)
2440000000.0,(-0.7213978225022117+0.14371273286844888j)
2455000000.0,(-0.7197438723119615+0.14388043968943967j)
2470000000.0,(-0.7180985075024127+0.14406788692760303j)
2485000000.0,(-0.7164582458241096+0.1442750538862831j)
2500000000.0,(-0.714819646638347+0.14450168201443295j)
2515000000.0,(-0.713179324357053+0.1447472792998964j)
2530000000.0,(-0.7115339615385075+0.14501112536040697j)
2545000000.0,(-0.7098803216051072+0.14529227720799634j)
2560000000.0,(-0.7082152611510469+0.14558957566105646j)
2575000000.0,(-0.7065357418094905+0.1459016523769599j)
2590000000.0,(-0.7048388416505486+0.14622693747691867j)
2605000000.0,(-0.7031217660831427+0.1465636677336513j)
2620000000.0,(-0.7013818582356203+0.1469098952914173j)
2635000000.0,(-0.699616608791784+0.14726349688708026j)
2650000000.0,(-0.6978236652608033+0.1476221835400584j)
2665000000.0,(-0.6960008406612863+0.1479835106783234j)
2680000000.0,(-0.6941461216015911+0.14834488866699655j)
2695000000.0,(-0.6922576757402632+0.14870359370557976j)
2710000000.0,(-0.6903338586122625+0.1490567790594252j)
2725000000.0,(-0.6883732198084329+0.14940148659070387j)
2740000000.0,(-0.6863745084974225+0.14973465855386323j)
2755000000.0,(-0.6843366782810012+0.1500531496203749j)
2770000000.0,(-0.6822588913754568+0.15035373909745062j)
2785000000.0,(-0.6801405221134524+0.15063314330535713j)
2800000000.0,(-0.6779811597624039+0.15088802807797094j)
2815000000.0,(-0.6757806106571074+0.1511150213512965j)
2830000000.0,(-0.6735388996459822+0.1513107258048046j)
2845000000.0,(-0.671256270851914+0.1514717315206465j)
2860000000.0,(-0.6689331877502758+0.15159462862605202j)
2875000000.0,(-0.6665703325682801+0.15167601988452656j)
2890000000.0,(-0.6641686050113721+0.15171253320182068j)
2905000000.0,(-0.6617291203238956+0.15170083401306525j)
2920000000.0,(-0.6592532066927835+0.15163763751792478j)
2935000000.0,(-0.6567424020045046+0.15151972073114373j)
2950000000.0,(-0.6541984499669744+0.1513439343164271j)
2965000000.0,(-0.6516232956095764+0.1511072141722226j)
2980000000.0,(-0.6490190801758736+0.15080659273864017j)
2995000000.0,(-0.646388135424985+0.1504392099954809j)
3010000000.0,(-0.643732977358986+0.15000232412212083j)
3025000000.0,(-0.6410562993950473+0.14949332179083913j)
3040000000.0,(-0.6383609650023538+0.14890972806607314j)
3055000000.0,(-0.6356499998251501+0.14824921588303058j)
3070000000.0,(-0.6329265833145254+0.14750961508010174j)
3085000000.0,(-0.6301940398928024+0.1466889209605854j)
3100000000.0,(-0.6274558296755834+0.14578530236036782j)
3115000000.0,(-0.6247155387776882+0.14479710919938696j)
3130000000.0,(-0.6219768692303348+0.14372287949596732j)
3145000000.0,(-0.6192436285379918+0.14256134582442462j)
3160000000.0,(-0.6165197189043733+0.14131144119771444j)
3175000000.0,(-0.6138091261580004+0.13997230435833796j)
3190000000.0,(-0.6111159084086941+0.13854328446221947j)
3205000000.0,(-0.6084441844672036+0.13702394514182256j)
3220000000.0,(-0.6057981220609613+0.13541406793639457j)
3235000000.0,(-0.603181925879673+0.13371365507889957j)
3250000000.0,(-0.600599825485079+0.13192293163092583j)
3265000000.0,(-0.5980560631197824+0.13004234695863176j)
3280000000.0,(-0.59555488145049+0.12807257554461707j)
3295000000.0,(-0.5931005112813938+0.12601451713247447j)
3310000000.0,(-0.5906971592736875+0.12386929620268072j)
3325000000.0,(-0.5883489957073781+0.12163826078042198j)
3340000000.0,(-0.5860601423216258+0.11932298057791813j)
3355000000.0,(-0.5838346602697896+0.11692524447579156j)
3370000000.0,(-0.5816765382252007+0.11444705735003124j)
3385000000.0,(-0.5795896806734098+0.1118906362531059j)
3400000000.0,(-0.5775778964262565+0.10925840595979269j)
3415000000.0,(-0.575644887392591+0.10655299389028582j)
3430000000.0,(-0.5737942376398514+0.10377722442512884j)
3445000000.0,(-0.5720294027799201+0.10093411262848163j)
3460000000.0,(-0.5703536997118217+0.0980268573981508j)
3475000000.0,(-0.5687702967528018+0.09505883406269948j)
3490000000.0,(-0.5672822041882118+0.09203358644778584j)
3505000000.0,(-0.5658922652693775+0.08895481843564947j)
3520000000.0,(-0.5646031476872726+0.08582638504337492j)
3535000000.0,(-0.5634173355483515+0.08265228304718025j)
3550000000.0,(-0.5623371218773118+0.07943664118153246j)
3565000000.0,(-0.5613646016698923+0.07618370994332885j)
3580000000.0,(-0.5605016655170267+0.07289785103273896j)
3595000000.0,(-0.5597499938198206+0.0695835264635342j)
