f,s11,s21,ZL,ZL_a
2785000000.0,(-0.7887687391834477+0.06196269559260848j),(-0-0j),(43.98248554661898+14.573478982802571j),376.7316776489208
2870000000.0,(-0.7859246243806142+0.06079212180510965j),(-0-0j),(44.669822681970544+14.344326825235797j),376.7315980396003
2955000000.0,(-0.7832157799849802+0.059513958255122484j),(-0-0j),(45.32885676731081+14.086059710511627j),376.731525200864
3040000000.0,(-0.7806450738334101+0.05813887066249057j),(-0-0j),(45.958359158487944+13.801014583818851j),376.7314583861605
3125000000.0,(-0.7782144956557346+0.056677340830595245j),(-0-0j),(46.55731781126888+13.491555048520416j),376.73139694906956
3210000000.0,(-0.7759252161125044+0.055139608620271945j),-0j,(47.12493114515502+13.160052409985743j),376.73134032760726
3295000000.0,(-0.7737776474342312+0.053535621763524374j),-0j,(47.66060034490469+12.80886792574173j),376.7312880313294
3380000000.0,(-0.7717715047865195+0.05187499325917106j),-0j,(48.163920304045426+12.440336407895774j),376.73123963067457
3465000000.0,(-0.7699058675831193+0.0501669660087063j),-0j,(48.634669421957945+12.056751288261307j),376.73119474811455
3550000000.0,(-0.7681792400667994+0.04842038428505379j),-0j,(49.07279846832386+11.660351222011904j),376.73115305077107
3635000000.0,(-0.7665896105740088+0.0466436715781431j),-0j,(49.47841872622933+11.253308272818451j),376.73111424422484
3720000000.0,(-0.7651345089918989+0.04484481432779406j),-0j,(49.85178961852113+10.837717691958952j),376.73107806730445
3805000000.0,(-0.7638110620041063+0.043031351034527085j),0j,(50.19330601170873+10.415589276351675j),376.7310442876806
3890000000.0,(-0.7626160458036892+0.0412103662308862j),0j,(50.50348537845077+9.988840266217299j),376.7310126981268
3975000000.0,(-0.7615459360271245+0.03938848879791394j),0j,(50.782954984120785+9.559289722345529j),376.730983113333
4060000000.0,(-0.7605969547318006+0.03757189412187521j),0j,(51.03243924577581+9.128654305812034j),376.7309553671827
4145000000.0,(-0.7597651143007869+0.03576630960360577j),0j,(51.25274739367613+8.698545369431415j),376.73092931041487
4230000000.0,(-0.7590462582128381+0.03397702305548376j),0j,(51.444761546897794+8.270467260104343j),376.7309048086133
4315000000.0,(-0.758436098662677+0.03220889354767286j),0j,(51.609425296050276+7.845816724309246j),376.73088174046904
4400000000.0,(-0.7579302510569269+0.030466364294779277j),0j,(51.7477328680883+7.425883305023946j),376.7308599962765
4485000000.0,(-0.7575242654449765+0.02875347720536506j),0j,(51.86071893104972+7.011850617019428j),376.730839476626
4570000000.0,(-0.7572136549719897+0.027073888748988046j),0j,(51.94944908053392+6.604798388405745j),376.7308200912662
4655000000.0,(-0.7569939214637349+0.025430886827863187j),0j,(52.01501103506101+6.205705159173126j),376.73080175810975
4740000000.0,(-0.7568605782704028+0.023827408372215298j),0j,(52.05850655425866+5.8154515319106626j),376.7307844023628
4825000000.0,(-0.7568091705096188+0.022266057409481253j),0j,(52.081044082178025+5.434823875566822j),376.73076795576105
4910000000.0,(-0.756835292858004+0.020749123387284636j),0j,(52.08373210796815+5.064518389724049j),376.73075235589744
4995000000.0,(-0.7569346050463321+0.01927859955831237j),0j,(52.067673227611046+4.705145444112893j),376.7307375456292
5080000000.0,(-0.7571028452161136+0.017856201261629172j),0j,(52.033958883379235+4.35723411573236j),376.7307234725541
5165000000.0,(-0.7573358412957153+0.016483383959481804j),0j,(51.983664752035196+4.02123685375706j),376.7307100885456
5250000000.0,(-0.7576295205523322+0.015161360911164639j),0j,(51.917846748441036+3.697534210206876j),376.7306973493418
5335000000.0,(-0.7579799174726316+0.013891120386061684j),0j,(51.83753760806696+3.3864395819851647j),376.73068521417827
5420000000.0,(-0.7583831801200416+0.012673442336535279j),0j,(51.74374400975048+3.088203917227617j),376.73067364546165
5505000000.0,(-0.7588355751107416+0.01150891446798097j),0j,(51.637444198837116+2.8030203458591796j),376.7306626084787
5590000000.0,(-0.7593334913437074+0.010397947658172018j),0j,(51.51958607039843+2.5310287007578105j),376.73065207113484
5675000000.0,(-0.7598734426129035+0.00934079069107934j),0j,(51.391085672454466+2.2723199019294826j),376.73064200372096
5760000000.0,(-0.7604520692220784+0.008337544281784508j),(-0+0j),(51.25282608990691+2.026940181580805j),376.7306323787039
5845000000.0,(-0.7610661387147937+0.0073881743790140736j),(-0+0j),(51.10565667111497+1.794895132925348j),376.73062317053757
5930000000.0,(-0.7617125458244419+0.006492524740344067j),(-0+0j),(50.95039256061562+1.5761535699790545j),376.73061435549374
6015000000.0,(-0.7623883117411714+0.00565032878235755j),(-0+0j),(50.787814503324846+1.3706511895051319j),376.73060591150886
