f,s11
10800000000.0,(1.8486299438680673-0.827927589471233j)
10820000000.0,(1.9395967599783068-0.8289334470249002j)
10840000000.0,(2.0359882458539995-0.8187467300666611j)
10860000000.0,(2.1364561793249037-0.7953054135994916j)
10880000000.0,(2.2389682571221243-0.7566001293836911j)
10900000000.0,(2.3407218836556516-0.7009051387506757j)
10920000000.0,(2.4381397638449678-0.6270816619923458j)
10940000000.0,(2.526996604802077-0.5349233262811177j)
10960000000.0,(2.602714744839942-0.42547968978440176j)
10980000000.0,(2.6608303055007356-0.30126453198293074j)
11000000000.0,(2.697572748813741-0.1662505914396916j)
11020000000.0,(2.710438902732363-0.025589261479281148j)
11040000000.0,(2.698610643997227+0.11492809982520331j)
11060000000.0,(2.6630913781648857+0.24955953446339368j)
11080000000.0,(2.6065191497523625+0.37328632665701167j)
11100000000.0,(2.5327171060267872+0.48231212933006j)
11120000000.0,(2.446115089870678+0.574296312827231j)
11140000000.0,(2.3511894984641875+0.6483216276094534j)
11160000000.0,(2.2520286266017706+0.7046668485474649j)
11180000000.0,(2.152068209939542+0.7444826801459861j)
11200000000.0,(2.053987599327165+0.7694582539718691j)
11220000000.0,(1.9597263210973934+0.7815348874808871j)
11240000000.0,(1.8705732245167972+0.7826916460592775j)
11260000000.0,(1.787287450819401+0.7748037527754584j)
11280000000.0,(1.710223031114578+0.7595621587581696j)
11300000000.0,(1.6394410721465602+0.7384383361852056j)
11320000000.0,(1.5748026273423534+0.7126791480017444j)
11340000000.0,(1.5160411161707898+0.6833196406479665j)
11360000000.0,(1.4628162089673096+0.651205026818842j)
11380000000.0,(1.4147523324618616+0.6170161143737092j)
11400000000.0,(1.371465137667945+0.5812947156656821j)
11420000000.0,(1.3325789401420185+0.5444671568854789j)
11440000000.0,(1.297737617815802+0.5068650329990294j)
11460000000.0,(1.2666109082434263+0.46874297348124405j)
11480000000.0,(1.2388975652811538+0.4302935292111369j)
11500000000.0,(1.2143264416717705+0.3916594613236205j)
11520000000.0,(1.1926562586478278+0.35294377811604544j)
11540000000.0,(1.1736745949429976+0.31421787214037605j)
11560000000.0,(1.1571964607051826+0.27552808517754135j)
11580000000.0,(1.1430627025562023+0.23690099117568092j)
11600000000.0,(1.1311384023578548+0.19834764629819118j)
11620000000.0,(1.1213113745496333+0.15986701621818983j)
11640000000.0,(1.113490827874164+0.121448756226786j)
11660000000.0,(1.107606231459769+0.08307549053903361j)
11680000000.0,(1.10360640860868+0.0447247135069633j)
11700000000.0,(1.1014588713637063+0.006370417015447722j)
11720000000.0,(1.1011494029293987-0.032015465257701936j)
11740000000.0,(1.1026818917889203-0.07046171518565993j)
11760000000.0,(1.1060784197520115-0.10899651261270446j)
11780000000.0,(1.1113796052751677-0.14764606735875258j)
11800000000.0,(1.1186452023914264-0.1864331224079437j)
11820000000.0,(1.1279549536309352-0.2253752429003351j)
11840000000.0,(1.1394096914116234-0.2644827942158202j)
11860000000.0,(1.1531326752640827-0.3037564963614684j)
11880000000.0,(1.1692711401960785-0.3431844205672996j)
11900000000.0,(1.187998012115741-0.38273826700351404j)
11920000000.0,(1.2095137161887224-0.4223687295952509j)
11940000000.0,(1.2340479586874273-0.46199971527364864j)
11960000000.0,(1.261861296002574-0.5015211419691634j)
11980000000.0,(1.2932462075713063-0.5407799954697461j)
12000000000.0,(1.3285272515656419-0.579569286562299j)
12020000000.0,(1.3680596896734518-0.6176145289466028j)
12040000000.0,(1.4122257046025402-0.6545573765490222j)
12060000000.0,(1.4614269856616018-0.689936151236349j)
12080000000.0,(1.5160720140523791-0.7231632138766542j)
12100000000.0,(1.5765558466805834-0.7534995659645297j)
12120000000.0,(1.643229617573809-0.7800278317462682j)
12140000000.0,(1.716356460233185-0.8016260101505326j)
12160000000.0,(1.7960503307743498-0.8169462624233444j)
12180000000.0,(1.8821946881683835-0.824405628716795j)
12200000000.0,(1.974339805108043-0.8221988829781426j)
12220000000.0,(2.0715815052924706-0.8083472747736814j)
12240000000.0,(2.172431252835886-0.7807994755573274j)
12260000000.0,(2.2746981731222076-0.7376004097135077j)
12280000000.0,(2.375416697935786-0.6771365437207835j)
12300000000.0,(2.4708652412998866-0.5984492532576817j)
12320000000.0,(2.556724159084307-0.5015800125809199j)
12340000000.0,(2.6284055400610127-0.3878772960153597j)
12360000000.0,(2.6815465454745255-0.26016902747587056j)
12380000000.0,(2.712597113642749-0.1227062950397723j)
12400000000.0,(2.7193743187015085+0.01917081265491886j)
12420000000.0,(2.7014331550177686+0.15961133158092553j)
12440000000.0,(2.660141004746258+0.29295343686614606j)
12460000000.0,(2.5984327180675035+0.41437640200145553j)
12480000000.0,(2.520323988147383+0.5203542324518425j)
12500000000.0,(2.4303240079000012+0.6088363448111985j)
12520000000.0,(2.332890626330874+0.6791709086400834j)
12540000000.0,(2.2320246160868735+0.731850115794771j)
12560000000.0,(2.131036617272542+0.768176353582143j)
12580000000.0,(2.03246957527895+0.7899321700342927j)
12600000000.0,(1.938133296489704+0.7991047290782011j)
12620000000.0,(1.8492035427652918+0.7976842755427136j)
12640000000.0,(1.7663467761488196+0.787534498555607j)
12660000000.0,(1.689844577355792+0.7703216696863489j)
12680000000.0,(1.6197035549674883+0.7474863390914699j)
12700000000.0,(1.555745129717617+0.7202427665199594j)
12720000000.0,(1.497674821590258+0.6895944684289674j)
12740000000.0,(1.44513333973922+0.6563576803959682j)
12760000000.0,(1.3977327723481412+0.6211874294708136j)
12780000000.0,(1.3550812266071766+0.5846030755036764j)
12800000000.0,(1.3167988745293098+0.5470116644239561j)
12820000000.0,(1.2825278139157823+0.508728383833619j)
12840000000.0,(1.2519376102439013+0.4699939748612908j)
12860000000.0,(1.2247279127055255+0.43098926174542296j)
12880000000.0,(1.2006291563107279+0.39184710695401515j)
12900000000.0,(1.1794020685347484+0.352662150211199j)
12920000000.0,(1.1608364805779132+0.3134986872606335j)
12940000000.0,(1.1447497847556358+0.27439701508593417j)
12960000000.0,(1.1309852667624942+0.23537853040876028j)
12980000000.0,(1.119410462780861+0.19644982646602044j)
13000000000.0,(1.109915637345387+0.1576059939634017j)
13020000000.0,(1.1024124415056749+0.1188332978555297j)
13040000000.0,(1.096832786926075+0.0801113729367846j)
13060000000.0,(1.0931279563499254+0.041415058148395634j)
13080000000.0,(1.091267961595339+0.0027159716830724894j)
13100000000.0,(1.0912411549771746-0.03601608402510558j)
13120000000.0,(1.0930540973285343-0.07481180689775013j)
13140000000.0,(1.0967316845366646-0.11370109328985184j)
13160000000.0,(1.102317533824856-0.15271167387514573j)
13180000000.0,(1.1098746300983449-0.19186760811951048j)
13200000000.0,(1.1194862306665097-0.2311875504380692j)
13220000000.0,(1.1312570225465337-0.2706826890060579j)
13240000000.0,(1.145314519013629-0.3103542411938901j)
13260000000.0,(1.1618106692833383-0.3501903672337119j)
13280000000.0,(1.1809236346734306-0.39016233552115j)
13300000000.0,(1.2028596527978208-0.4302197386753632j)
13320000000.0,(1.2278548634141022-0.4702845194530746j)
13340000000.0,(1.256176898858921-0.5102435213014086j)
13360000000.0,(1.288125939662978-0.549939233351404j)
13380000000.0,(1.3240347904877456-0.5891583611999449j)
13400000000.0,(1.3642673287745584-0.6276178363301251j)
13420000000.0,(1.4092144024892284-0.6649479013857681j)
13440000000.0,(1.459285888665373-0.7006720136449911j)
13460000000.0,(1.5148971623275411-0.734183554064368j)
13480000000.0,(1.5764476753663719-0.7647198021871416j)
13500000000.0,(1.6442887564163837-0.7913344602305771j)
13520000000.0,(1.718677240149504-0.812871336461026j)
13540000000.0,(1.7997113688140578-0.8279437896596223j)
13560000000.0,(1.8872460214868365-0.8349272941544917j)
13580000000.0,(1.9807863988674392-0.8319759073642419j)
13600000000.0,(2.0793637192123398-0.8170769601117251j)
13620000000.0,(2.1814041500280905-0.7881606108747334j)
13640000000.0,(2.2846133957280044-0.7432795951680653j)
13660000000.0,(2.3859126997394644-0.6808661683183402j)
13680000000.0,(2.4814731224936097-0.6000546204945929j)
13700000000.0,(2.5668958286388137-0.5010283665346669j)
13720000000.0,(2.637567028278228-0.38531661051030835j)
13740000000.0,(2.689171674821104-0.2559420581023603j)
13760000000.0,(2.7182874308432647-0.11732852566930795j)
13780000000.0,(2.7229246741609687+0.025071070537319076j)
13800000000.0,(2.702863322572662+0.1653792906034448j)
13820000000.0,(2.659683577487765+0.2979989409966676j)
13840000000.0,(2.596482080856089+0.4182464283797459j)
13860000000.0,(2.517363155762227+0.5227713033175826j)
13880000000.0,(2.426850071548022+0.6097001197571231j)
13900000000.0,(2.3293552071521684+0.6785312529499076j)
13920000000.0,(2.228797090949399+0.7298651001634088j)
13940000000.0,(2.1283897199282316+0.7650678725153295j)
13960000000.0,(2.0305820342866134+0.785947721170925j)
13980000000.0,(1.937102716425665+0.7944891916428938j)
14000000000.0,(1.8490636068450095+0.7926619641137191j)
